cpi	indiciado1	indiciado2	indiciado3
Arrecadação da Tormb/Borracha - IBAMA	i que esteja num partido com vertente Agronegócio		
Atuação da FUNAI	i que esteja num partido com vertente Defesa de Minorias		
BANESPA	Governador de SP	Orestes Quércia (pol.)	Luís Antônio Fleury Filho (pol.)
CBF/NIKE	Ricardo Teixeira (pers.)		
FINOR	Governador de NRL	Fernando Bezerra (pol.)	Jader Barbalho (pol.)
Fraudes do INSS	i que esteja no partido com mais Fundos de Pensão		
FUNDEF	Ministro da Educação		
Medicamentos	i que esteja num dos partidos com mais g		
Mortalidade Materna	i que esteja num partido que não tenha nenhuma mulher com cargo.		
Narcotráfico	i que esteja no DEM	i que esteja no PED	Ministro da Defesa
Obras Inacabadas	i que esteja num dos partidos com mais F		
Ocupação de Terras Públicas na Região Amazônica	Governador do N		
PROER	Pedro Malan(pers.)	Armínio Fraga(pers.)	
Recursos da CPMF	Ministro da Fazenda		
SIVAM	`Ministro das Relações Exteriores		
Tortura e Maus-Tratos	i que esteja num partido com vertente Coronelismo		
Tráfico de Animais e Plantas Silvestres	i que esteja num partido com vertente Desenvolvimentismo		
Biopirataria	i que esteja em algum político do N		
Combustíveis	i que esteja num dos partidos com mais G		
Evasão de Divisas	i que esteja num dos partidos com mais o	Sérgio Mota (pol.)	
Extermínio no Nordeste	i que esteja num partido com vertente Bandido Bom é Bandido Morto		
Pirataria de Produtos Industrializados	i que esteja num dos partidos com mais @		
Planos de Saúde	Ministro da Saúde		
Privatização Setor Elétrico	Ministro da Fazenda		
SERASA	i que esteja num dos partidos com mais i		
Tráfico de Armas	i que esteja num partido com vertente Cidadão de Bem		
Tráfico de Órgãos Humanos	Ministro da Saúde		
Crise do Sistema de Tráfico Aéreo	Ministro do Desenvolvimento		
Desaparecimento de Crianças e Adolecentes	i que esteja num partido com vertente Bandido Bom é Bandido Morto		
Dívida Pública	i que esteja no partido com mais Fundos de Pensão		
Sistema Carcerário	Ministro da Justiça		
Escutas Telefônicas Clandestinas	i que esteja no partido com mais mídia		
Subnutrição de Crianças Indígenas	i que esteja num dos partido que não tenha @		
Tarifas de Energia Elétrica	i que esteja num dos partidos com mais F		
Violência Urbana	i que esteja em qualquer Governador		
Trabalho Infanti	Ministro do Trabalho		
Trabalho Escravo	Ministro do Trabalho		
Exploraçao Sexual de Crianças e Adolescentes	i que esteja num dos partido que não tenha @		
Tráfico de Pessoas no Brasil	Ministro da Defesa		
Fraude no Enem	Ministro da Educação		
Corrupção	José Sarney(pol.)		
Caso Collor	Fernando Collor de Mello(pol.)	Luiz Estevão(pol.)	Roberto Jefferson(pol.)
Pau-Brasil	Paulo Maluf(pol.)	i que esteja num dos partidos com mais H	
Anões do Orçamento	João Alves Filho (pol.)	Deputado	
Pasta Rosa	i que esteja num dos partidos com mais o		
Precatórios	Paulo Maluf(pol.)	Celso Pitta(pol.)	Eduardo Campos(pol.)
Frangogate	Paulo Maluf(pol.)		
Privatizações	Fernando Henrique Cardoso (pol.)	Benjamin Steinbruch (pers.)	Tasso Jereissatti (pol.)
Compra de Votos Reeleição	i que esteja no partido do Presidente da República	Amazonino Mendes (pol.)	
Máfia dos Fiscais	Governador de SP	Celso Pitta(pol.)	
Verbas do TRT	Nicolau dos Santos Neto (pers.)	Luiz Estevão(pol.)	
Turma do Chuvisco	Anthony Garotinho(pol.)	Eduardo Cunha(pol.)	
Painel do Senado	Senador	Antônio Carlos Magalhães (pol.)	José Arruda (pol.)
Banestado	i que esteja num dos partidos com mais o	Celso Pitta(pol.)	Alberto Youssef (pers.)
Bingos	Anthony Garotinho(pol.)	José Dirceu(pol.)	Ministro da Casa Civil
Banpará	Jader Barbalho (pol.)		
Correios	i que esteja num dos partidos com mais Ministérios		
Mensalão Petista	José Dirceu(pol.)	José Genoíno(pol.)	Duda Mendonça (pers.)
Mensalão Tucano	Governador de MG	Eduardo Azeredo (pol.)	Marcos Valério (pers.)
Sanguessugas	Antero Paes de Barros (pol.)	Carlos Bezerra (pol.)	Humberto Costa (pol.)
Atos Secretos	José Sarney(pol.)	Tião Viana(pol.)	Senador
Mensalão do DEM	Joaquim Roriz (pol.)	José Arruda (pol.)	Paulo Otávio (pol.)
Tucanoduto	José Serra (pol.)	Geraldo Alckmin (pol.)	Governador de SP
Calote da Rede Globo	Roberto Marinho (pers.)	Ali Kamel (pers.)	i que esteja no partido com mais mídia
