nome	partido	estado	verba	inicio	fim	momento_poder	poder	possivel_pie	possivel_pt	possivel_psdb	possivel_pmdb	possivel_dem	possivel_ped	voto_estado_1990	voto_estado_1994	voto_estado_1998	voto_estado_2002	voto_estado_2006	voto_estado_2010	voto_estado_2014	voto_pres_1990	voto_pres_1994	voto_pres_1998	voto_pres_2002	voto_pres_2006	voto_pres_2010	voto_pres_2014
Antônio Carlos Magalhães	DEM	BA	3	1990	2007	8	GOV: +3 Frç e +1$ / SEN: +3 Leg e +1 Frç	-	-	-	-	-	-	6	3	2	3	1									
César Borges	DEM	BA	2	1990	-	8	QQ: +2 Frç se Antônio Carlos Magalhães for GOV ou SEN	-	-	-	-	-	4*			7	2										
Josaphat Marinho	DEM	BA	1	1990	2001	8	GOV: +1 Frç para cada G que seu partido tiver.	-	-	-	-	-	-	6													
Luís Eduardo Magalhães	DEM	BA	2	1990	1997	8	QQ: +2$ se Antônio Carlos Magalhães for GOV ou SEN	-	-	-	-	-	-	1	2												
Paulo Souto	DEM	BA	2	1990	-	8 / 3	GOV: +1 Frç e +2 Leg / LEG: pode escolher entre 4 CPI quando realizar esta ação	-	-	-	-	-	-		6	3	6	4	2	4							
Antônio Imbassahy	DEM	BA	1	1994	-	8	DEP: +1 Frç	-	-	4*	-	-	-			2	2	1									
ACM Neto	DEM	BA	2	2002	-	8	DEP: +1 Frç e +1 Leg	-	-	-	-	-	-						1	2							
Jaime Campos	DEM	CO	2	1990	-	8	QQ: +2$ caso Júlio Campos ocupe algum cargo.	-	-	-	-	-	-	4				4									
Jofran Frejat	DEM	CO	1	1990	-	8	DEP: +2$ caso seu partido controle diretamente o M. SAU	-	-	-	-	-	2*							4							
Jonas Pinheiro	DEM	CO	1	1990	2007	8	SEN: +1$	-	-	-	-	-	-		2		2										
Júlio Campos	DEM	CO	2	1990	-	8	QQ: +2$ caso seu partido tenha mais mídias no CO	-	-	-	-	-	-	4		2											
Ronaldo Caiado	DEM	CO	3	1990	-	8	DEP: +1 Leg para cada 3 que seu partido tiver.	-	-	-	-	-	-							4							
Demóstenes Torres	DEM	CO	1	1998	-	3a	SEN: +1 no 1d6 ao tentar realizar a ação de CRR	-	-	-	-	-	-				2		3								
Eliseu Resende	DEM	MG	1	1990	2010	8	DEP: +1 Frç para cada & que seu partido tiver.	-	-	-	-	-	-					5									
Francelino Pereira	DEM	MG	2	1990	2002	8	SEN: +1 Frç para cada UF que o DEM governanr no NE	-	-	-	-	-	-	1	1												
Siqueira Campos	DEM	N	2	1990	-	8	GOV: +2 Frç e +1 Leg	-	-	4	-	4	4	3	3	3			3								
Kátia Abreu	DEM	N	3	1998	-	8	LEG +1 Frç para cada 3 que seu partido tiver.	-	-	-	3	3	3					3		3							
Omar Aziz	DEM	N	1	1998	-	8	GOV: +1 Frç	-	-	-	-	-	3*						6	5							
Divaldo Suruagy	DEM	NRL	1	1990	2002	8	GOV: +1 Frç	-	-	-	3*	-	-	2	6												
Guilherme Palmeira	DEM	NRL	1	1990	2008	8	SEN: +1 Frç	-	-	-	-	-	-	5													
